# source; base term; pitch accent
nhk;愛護;ꜛあꜜいご~
nhk;愛好;あꜛいこう
nhk;愛好家;あꜛいこうか
nhk;愛好者;あꜛいこꜜうしゃ
nhk;愛校心;あꜛいこꜜうしん
nhk;愛国;あꜛいこく
nhk;愛国者;あꜛいこꜜく*しゃ
nhk;愛国者;あꜛいこく*ꜜしゃ
nhk;愛国心;あꜛいこく*ꜜしん
nhk;愛国心;あꜛいこꜜく*しん
nhk;合言葉;あꜛいこꜜとば
nhk;アイコノスコープ;あꜛいこのす*こꜜうぷ
nhk;間駒;あꜛいご~ま
nhk;アイコン;あꜛいこん
nhk;アイコン;ꜛあꜜいこん
nhk;愛妻;あꜛいさい
nhk;愛妻家;あꜛいさいか
nhk;挨拶;ꜛあꜜいさつ
nhk;哀史;ꜛあꜜいし
nhk;愛児;ꜛあꜜいじ
nhk;アイシー;あꜛいしꜜい
nhk;愛車;あꜛいしゃ
nhk;アイシャドー;あꜛいしゃꜜどう
nhk;哀愁;あꜛいしゅう
nhk;相性;あꜛいしょꜜう
nhk;愛称;あꜛいしょう
nhk;愛唱;あꜛいしょう
nhk;愛しょう;あꜛいしょう
nhk;愛誦;あꜛいしょう
nhk;愛妾;あꜛいしょう
nhk;愛情;あꜛいじょう
nhk;愛嬢;あꜛいじょう
nhk;愛唱歌;あꜛいしょꜜうか
nhk;合い印;あꜛいじꜜるし
nhk;愛人;あꜛいじん
nhk;アイシング;ꜛあꜜいしんぐ~
nhk;愛す;ꜛあꜜいす
nhk;アイス;ꜛあꜜいす
nhk;合図;ꜛあꜜいず
nhk;アイスキャンデー;あꜛいす*きゃꜜんでえ
nhk;アイスクリーム;あꜛいす*くりꜜいむ
nhk;アイスコーヒー;あꜛいすこうひꜜい
nhk;アイスコーヒー;あꜛいすこꜜうひい
nhk;アイススケート;あꜛいすす*けꜜえと
nhk;アイスダンス;あꜛいすだꜜんす
nhk;相づち;あꜛいずち
nhk;相槌;あꜛいずち
nhk;相づち;あꜛいづち
nhk;相槌;あꜛいづち
nhk;相づち;あꜛいずちꜜ
nhk;相槌;あꜛいずちꜜ
nhk;相づち;あꜛいづちꜜ
nhk;相槌;あꜛいづちꜜ
nhk;相づち;あꜛいずꜜち
nhk;相槌;あꜛいずꜜち
nhk;相づち;あꜛいづꜜち
nhk;相槌;あꜛいづꜜち
nhk;アイスティー;あꜛいす*てぃꜜい
nhk;アイスティー;あꜛいす*ꜜてぃい
nhk;アイスバーン;あꜛいすばꜜあん
nhk;アイスボックス;あꜛいすぼꜜっく*す
nhk;アイスホッケー;あꜛいす*ほꜜっけえ
nhk;愛する;あꜛいすꜜる
nhk;哀惜;あꜛいせき
nhk;愛惜;あꜛいせき
nhk;相席;あꜛいせき
nhk;哀切;あꜛいせつ
nhk;アイゼン;ꜛあꜜいぜん
nhk;哀訴;ꜛあꜜいそ
nhk;愛想;あꜛいそꜜ
nhk;愛想;あꜛいそꜜう
nhk;愛憎;あꜛいぞう
nhk;愛蔵;あꜛいぞう
nhk;愛息;あꜛいそく
nhk;愛想尽かし;あꜛいそずꜜかし
nhk;愛想尽かし;あꜛいそづꜜかし
nhk;アイソトープ;あꜛいそとꜜうぷ
nhk;愛想笑い;あꜛいそわꜜらい
nhk;愛孫;あꜛいそん
nhk;間;あꜛいだ
nhk;相対;あꜛいたい
nhk;相対;ꜛあꜜいたい
nhk;相対ずく;あꜛいたいずく
nhk;相対ずく;あꜛいたいずくꜜ
nhk;相互いに;ꜛあꜜいたが~いに
nhk;間柄;あꜛいだが~ら
nhk;間食い;あꜛいだぐ~い
nhk;あい玉;あꜛいだま
nhk;藍玉;あꜛいだま
nhk;愛知;ꜛあꜜいち
nhk;愛着;あꜛいちゃく
nhk;愛着;あꜛいじゃく
nhk;哀調;あꜛいちょう
nhk;愛鳥;あꜛいちょう
nhk;彼奴;あꜛいつ
nhk;相次ぐ;ꜛあꜜいつぐ~
nhk;相手;あꜛいてꜜ
nhk;お相手;おꜛあいて
nhk;アイデア;ꜛあꜜいであ
nhk;アイデア;あꜛいでꜜあ
nhk;IDカード;あꜛいでぃいかꜜあど
nhk;相手方;あꜛいてかた
nhk;相手方;あꜛいてが~た
nhk;相弟子;あꜛいでし
nhk;相手しだい;あꜛいてしꜜだい
nhk;相手取る;あꜛいてどꜜる
nhk;アイテム;ꜛあꜜいてむ
nhk;相手役;あꜛいてやく
nhk;アイデンティティー;あꜛいでꜜんてぃてぃい
nhk;哀悼;あꜛいとう
nhk;愛読;あꜛいどく
nhk;愛読者;あꜛいどꜜく*しゃ
nhk;愛読者;あꜛいどく*ꜜしゃ
nhk;愛読書;あꜛいどꜜく*しょ
nhk;愛読書;あꜛいどく*しょ
nhk;相殿;あꜛいどの
nhk;相ともに;ꜛあꜜいともに
nhk;アイドル;ꜛあꜜいどる
nhk;相投げ;あꜛいなげ~
nhk;生憎;あꜛいにく
nhk;アイヌ;ꜛあꜜいぬ
nhk;アイヌ人;あꜛいぬꜜじん
nhk;藍鼠;あꜛいねず
nhk;藍鼠;あꜛいねꜜずみ
nhk;合いの手;あꜛいのꜜて
nhk;合いの手;あꜛいのてꜜ
nhk;相乗り;あꜛいのり
nhk;愛馬;ꜛあꜜいば
nhk;アイバンク;あꜛいばꜜんく
nhk;逢引;あꜛいびき
nhk;合いびき;あꜛいびき
nhk;合い挽き;あꜛいびき
nhk;合い符;あꜛいふ
nhk;愛ぶ;ꜛあꜜいぶ
nhk;愛撫;ꜛあꜜいぶ
nhk;合服;あꜛいふ*く
nhk;合い札;あꜛいふだ
nhk;合い札;あꜛいふだꜜ
nhk;合い札;あꜛいꜜふだ
nhk;相部屋;あꜛいべや
nhk;愛慕;ꜛあꜜいぼ
nhk;相棒;あꜛいぼう
nhk;相棒;あꜛいぼꜜう
nhk;相星;あꜛいぼし
nhk;アイボリー;ꜛあꜜいぼりい
nhk;間馬;あꜛいま
nhk;合間;あꜛいま
nhk;合間;あꜛいまꜜ
nhk;曖昧;あꜛいまい
nhk;相まって;ꜛあꜜいまって
nhk;相身互い;ꜛあꜜいみたが~い
nhk;相役;あꜛいやく
nhk;相宿;あꜛいやど
nhk;相宿;あꜛいやꜜど
nhk;愛用;あꜛいよう
nhk;愛用者;あꜛいよꜜうしゃ
nhk;愛欲;あꜛいよく
nhk;相四つ;あꜛいよつ
nhk;アイライン;あꜛいらꜜいん
nhk;哀楽;あꜛいらく
nhk;哀楽;ꜛあꜜいらく
nhk;愛らしい;あꜛいらしꜜい
nhk;アイリス;ꜛあꜜいりす
nhk;隘路;ꜛあꜜいろ
nhk;アイロニー;ꜛあꜜいろにい
nhk;アイロン;あꜛいろん
nhk;哀話;あꜛいわ
nhk;合う;ꜛあꜜう
nhk;会う;ꜛあꜜう
nhk;逢う;ꜛあꜜう
nhk;遭う;ꜛあꜜう
nhk;アウト;ꜛあꜜうと
nhk;アウトウエア;あꜛうとうえꜜあ
nhk;アウトカーブ;あꜛうとかꜜあぶ
nhk;アウトコース;あꜛうとこꜜうす
nhk;アウトコーナー;あꜛうとこꜜうなあ
nhk;アウトサイダー;あꜛうとさꜜいだあ
nhk;アウトサイド;あꜛうとさꜜいど
nhk;アウトシュート;あꜛうとしゅꜜうと
nhk;アウトドア;あꜛうとどꜜあ
nhk;アウトバーン;あꜛうとばꜜあん
nhk;アウトプット;あꜛうとぷ*ꜜっと
nhk;アウトライン;あꜛうとらꜜいん
nhk;アウトロー;あꜛうとろꜜう
nhk;アウトロー;あꜛうとꜜろう
nhk;阿吽;あꜛうん
nhk;阿吽;ꜛあꜜうん
nhk;喘ぎ;あꜛえぎ~ꜜ
nhk;喘ぎ喘ぎ;あꜛえぎ~あꜜえぎ~
nhk;喘ぎ喘ぎ;あꜛえꜜぎ~あえぎ~
nhk;喘ぎ喘ぎ;あꜛえぎ~あえꜜぎ~
nhk;喘ぐ;あꜛえꜜぐ~
nhk;敢えて;ꜛあꜜえて
nhk;敢えない;あꜛえなꜜい
nhk;敢えない;あꜛえꜜない
nhk;敢えなく;あꜛえꜜなく
nhk;あえ物;あꜛえꜜもの
nhk;和物;あꜛえꜜもの
nhk;和える;あꜛえꜜる
nhk;亜鉛;あꜛえん
nhk;亜鉛;ꜛあꜜえん
nhk;亜鉛華;あꜛえんか
nhk;青;ꜛあꜜお
nhk;青々;あꜛおあꜜお
nhk;青あざ;あꜛおあざ
nhk;青痣;あꜛおあざ
nhk;青あらし;あꜛおあꜜらし
nhk;青嵐;あꜛおあꜜらし
nhk;青い;あꜛおꜜい
nhk;葵;あꜛおい
nhk;青息吐息;ꜛあおꜜいきとꜛいき
nhk;青息吐息;ꜛあおꜜいきꜛとꜜいき
nhk;青息吐息;あꜛおいき*とꜜいき
nhk;葵祭;あꜛおいまꜜつり
nhk;青色;あꜛおいろ
nhk;青海原;あꜛおうなꜜばら
nhk;青海原;あꜛおうꜜなばら
nhk;青梅;あꜛおꜜうめ
nhk;青梅;あꜛおうめ
nhk;青梅漬け;あꜛおうめずけ
nhk;青梅漬け;あꜛおうめづけ
nhk;青えんどう;あꜛおえꜜんどう
nhk;青豌豆;あꜛおえꜜんどう
nhk;青鬼;あꜛおおに
nhk;青貝;あꜛおꜜが~い
nhk;青貝;あꜛおが~い
nhk;青蛙;あꜛおが~ꜜえる
nhk;青かび;あꜛおかび
nhk;青黴;あꜛおかび
nhk;青紙;あꜛおが~み
nhk;青刈り;あꜛおが~り
nhk;青木;あꜛおき
nhk;仰ぎ見る;あꜛおぎ~みꜜる
nhk;仰ぎ見る;あꜛおぎ~みる
nhk;青桐;あꜛおぎ~り
nhk;青桐;あꜛおꜜぎ~り
nhk;仰ぐ;あꜛおꜜぐ~
nhk;扇ぐ;あꜛおꜜぐ~
nhk;青草;あꜛおく*さ
nhk;青臭い;あꜛおく*さꜜい
nhk;青黒い;あꜛおぐ~ろꜜい
nhk;青黒い;あꜛおぐ~ろい
nhk;青毛;あꜛおげ~
nhk;青粉;あꜛおこ
nhk;青粉;あꜛおこꜜ
nhk;青ごけ;あꜛおご~け
nhk;青苔;あꜛおご~け
nhk;石蓴;あꜛおさ
nhk;青魚;あꜛおざꜜかな
nhk;青鷺;あꜛおさぎ~
nhk;青侍;あꜛおざꜜむらい
nhk;青ざめる;あꜛおざめꜜる
nhk;青地;あꜛおじ
nhk;青じそ;あꜛおじそ
nhk;青紫蘇;あꜛおじそ
nhk;青写真;あꜛおじゃꜜしん
nhk;青白い;あꜛおじろꜜい
nhk;青白い;あꜛおじろい
nhk;青信号;あꜛおしꜜんご~う
nhk;青筋;あꜛおすじ
nhk;青すだれ;あꜛおすꜜだれ
nhk;青簾;あꜛおすꜜだれ
nhk;青そこひ;あꜛおそꜜこひ
nhk;青内障;あꜛおそꜜこひ
nhk;青空;あꜛおぞꜜら
nhk;青田;あꜛおた
nhk;青大将;あꜛおだꜜいしょう
nhk;青大将;あꜛおだいしょう
nhk;青田売り;あꜛおたうり
nhk;青田買い;あꜛおたが~い
nhk;青竹;あꜛおだけ
nhk;青竹;あꜛおꜜだけ
nhk;青畳;あꜛおだꜜたみ
nhk;青立ち;あꜛおだち
nhk;青っぱな;あꜛおっぱな
nhk;青っ洟;あꜛおっぱな
nhk;青っぱな;あꜛおꜜっぱな
nhk;青っ洟;あꜛおꜜっぱな
nhk;青電;あꜛおでん
nhk;青電車;あꜛおでꜜんしゃ
nhk;青天井;あꜛおてꜜんじょう
nhk;青電話;あꜛおでꜜんわ
nhk;青道心;あꜛおどꜜうしん
nhk;青菜;あꜛおな
nhk;青菜;あꜛおꜜな
nhk;青二才;あꜛおにꜜさい
nhk;仰のけ;あꜛおのけ
nhk;仰のける;あꜛおのけꜜる
nhk;青海苔;あꜛおꜜのり
nhk;青海苔;あꜛおのり
nhk;青葉;ꜛあꜜおば
nhk;青葉;あꜛおꜜば
nhk;青蠅;あꜛおꜜばえ
nhk;青蠅;あꜛおばえ
nhk;青蠅;あꜛおꜜばい
nhk;青蠅;あꜛおばい
nhk;青ばな;あꜛおばな
nhk;青洟;あꜛおばな
nhk;青ばな;あꜛおꜜばな
nhk;青洟;あꜛおꜜばな
nhk;青光り;あꜛおびꜜかり
nhk;青光り;あꜛおびかり
nhk;青票;あꜛおひょう
nhk;青びょうたん;あꜛおびょꜜうたん
nhk;青瓢箪;あꜛおびょꜜうたん
nhk;青膨れ;あꜛおぶくれ
nhk;青膨れ;あꜛおぶꜜくれ
nhk;青房;あꜛおぶさ
nhk;青札;あꜛおふだ
nhk;青坊主;あꜛおぼꜜうず
nhk;青豆;あꜛおまめ
nhk;青豆;あꜛおꜜまめ
nhk;青み;あꜛおみ
nhk;青み;あꜛおみꜜ
nhk;青緑;あꜛおみꜜどり
nhk;あおみどろ;あꜛおみꜜどろ
nhk;青麦;あꜛおむꜜぎ~
nhk;青麦;あꜛおꜜむぎ~
nhk;仰向く;あꜛおむꜜく
nhk;仰向く;あꜛおむく
nhk;あおむけ;あꜛおむけ
nhk;あおむけざま;あꜛおむけざま
nhk;あおむける;あꜛおむけꜜる
nhk;あおむける;あꜛおむける
nhk;青虫;あꜛおꜜむし
nhk;青物;あꜛおꜜもの
nhk;青物市;あꜛおものꜜいち
nhk;青物市場;あꜛおものいꜜちば
nhk;青森;あꜛおꜜもり
nhk;青柳;あꜛおやぎ~
nhk;青ランプ;あꜛおらꜜんぷ
nhk;あおり;あꜛおりꜜ
nhk;あおり;あꜛおり
nhk;あおり足;あꜛおりꜜあし
nhk;煽る;あꜛおꜜる
nhk;呷る;あꜛおꜜる
nhk;赤;ꜛあꜜか
nhk;銅;ꜛあꜜか
nhk;垢;あꜛかꜜ
nhk;閼伽;あꜛかꜜ
nhk;赤々と;あꜛかあꜜかと
nhk;明々と;あꜛかあꜜかと
nhk;赤蟻;あꜛかあり
nhk;赤い;あꜛかい
nhk;赤犬;あꜛかいぬ
nhk;赤芋;あꜛかいも
nhk;赤色;あꜛかいろ
nhk;赤いわし;あꜛかいꜜわし
nhk;赤鰯;あꜛかいꜜわし
nhk;赤えい;あꜛかꜜえい
nhk;赤えぼし;あꜛかえꜜぼし
nhk;赤烏帽子;あꜛかえꜜぼし
nhk;閼伽桶;あꜛかおꜜけ
nhk;赤鬼;あꜛかおに
nhk;赤帯;あꜛかおび
nhk;赤貝;あꜛかꜜが~い
nhk;赤蛙;あꜛかが~ꜜえる
nhk;赤樫;あꜛかが~し
nhk;赤樫;あꜛかꜜが~し
nhk;銅;あꜛかが~ね
nhk;あかがね色;あꜛかが~ねいろ
nhk;銅色;あꜛかが~ねいろ
nhk;赤かぶ;あꜛかかぶ
nhk;赤蕪;あꜛかかぶ
nhk;赤紙;あꜛかが~み
nhk;赤革;あꜛかが~わ
nhk;赤がわら;あꜛかが~ꜜわら
nhk;赤瓦;あꜛかが~ꜜわら
nhk;足掻;あꜛが~きꜜ
nhk;足掻;ꜛあꜜが~き
nhk;皹;あꜛかぎ~れ
nhk;足掻く;あꜛが~ꜜく
nhk;赤靴;あꜛかぐ~つ
nhk;赤熊;あꜛかぐ~ま
nhk;赤黒い;あꜛかぐ~ろꜜい
nhk;赤黒い;あꜛかぐ~ろい
nhk;赤毛;あꜛかげ~
nhk;赤ゲット;あꜛかげ~ꜜっと
nhk;赤子;あꜛかご~
nhk;赤行のう;あꜛかこꜜうのう
nhk;赤行嚢;あꜛかこꜜうのう
nhk;赤米;あꜛかご~め
nhk;藜;あꜛかざ
nhk;赤砂糖;あꜛかざꜜとう
nhk;赤さび;あꜛかさび
nhk;赤錆;あꜛかさび
nhk;赤ざら;あꜛかざら
nhk;赤さんご;あꜛかさꜜんご~
nhk;赤珊瑚;あꜛかさꜜんご~
nhk;明石;ꜛあꜜかし
nhk;灯;あꜛかし
nhk;証;あꜛかし
nhk;赤字;あꜛかじ
nhk;赤地;あꜛかじ
nhk;アカシア;あꜛかしあ
nhk;赤潮;あꜛかしお
nhk;垢染みる;あꜛかじみꜜる
nhk;赤信号;あꜛかしꜜんご~う
nhk;赤新聞;あꜛかしꜜんぶん
nhk;飽かす;あꜛかꜜす
nhk;明かす;あꜛかす
nhk;証す;あꜛかす
nhk;証す;あꜛかꜜす
nhk;開かず;あꜛかず
nhk;飽かず;あꜛかず
nhk;飽かず;あꜛかꜜず
nhk;飽かず;ꜛあꜜかず
nhk;赤ずきん;あꜛかずꜜきん
nhk;赤頭巾;あꜛかずꜜきん
nhk;垢擦り;あꜛかすꜜり
nhk;垢擦り;あꜛかすりꜜ
nhk;垢擦り;あꜛかすり
nhk;赤大根;あꜛかだꜜいこん
nhk;赤だし;あꜛかだし
nhk;赤出汁;あꜛかだし
nhk;あか棚;あꜛかだな
nhk;閼伽棚;あꜛかだな
nhk;赤茶色;あꜛかちゃいろ
nhk;赤茶ける;あꜛかちゃけꜜる
nhk;赤ちゃん;ꜛあꜜかちゃん
nhk;赤ちょうちん;あꜛかちょꜜうちん
nhk;赤提灯;あꜛかちょꜜうちん
nhk;赤チン;あꜛかちん
nhk;暁;あꜛかつ*き
nhk;暁やみ;あꜛかつ*きꜜやみ
nhk;暁闇;あꜛかつ*きꜜやみ
nhk;暁やみ;あꜛかつ*きやみ
nhk;暁闇;あꜛかつ*きやみ
nhk;上がったり;あꜛが~ったꜜり
nhk;上がったり;あꜛが~ったりꜜ
nhk;赤土;あꜛかつ*ち
nhk;赤っ茶ける;あꜛかっちゃけꜜる
nhk;アカデミー;あꜛかꜜでみい
nhk;アカデミー;あꜛかでꜜみい
nhk;アカデミズム;あꜛかでみꜜずむ
nhk;アカデミック;あꜛかでみꜜっく
nhk;赤点;あꜛかてん
nhk;赤電;あꜛかでん
nhk;赤電車;あꜛかでꜜんしゃ
nhk;赤電話;あꜛかでꜜんわ
nhk;赤蜻蛉;あꜛかとꜜんぼ
nhk;赤蜻蛉;ꜛあꜜかとんぼ
nhk;贖い;あꜛが~なꜜい
nhk;贖い;あꜛが~ない
nhk;贖う;あꜛが~なꜜう
nhk;購う;あꜛが~なꜜう
nhk;赤なす;あꜛかなす
nhk;赤茄子;あꜛかなす
nhk;あか抜け;あꜛかぬけ
nhk;垢抜け;あꜛかぬけ
nhk;あか抜け;あꜛかぬけꜜ
nhk;垢抜け;あꜛかぬけꜜ
nhk;あか抜ける;あꜛかぬけꜜる
nhk;茜;あꜛかね
nhk;あかね色;あꜛかねいろ
nhk;茜色;あꜛかねいろ
nhk;あかね染め;あꜛかねぞめ
nhk;茜木綿;あꜛかねもꜜめん
nhk;赤のごはん;あꜛかのごꜜはん
nhk;赤の御飯;あꜛかのごꜜはん
nhk;赤の他人;ꜛあꜜかのたにん
nhk;赤のまんま;あꜛかのまꜜんま
nhk;赤恥;あꜛかはじ
nhk;赤旗;あꜛかはた
nhk;赤肌;あꜛかはだ
nhk;赤裸;あꜛかはꜜだか
nhk;赤鼻;あꜛかばな
nhk;赤鼻;あꜛかはな
nhk;赤腹;あꜛかはら
nhk;あか光り;あꜛかびꜜかり
nhk;垢光り;あꜛかびꜜかり
nhk;赤ひげ;あꜛかひげ~
nhk;赤髭;あꜛかひげ~
nhk;赤髯;あꜛかひげ~
nhk;赤房;あꜛかぶさ
nhk;赤札;あꜛかふだ
nhk;アカペラ;あꜛかぺら
nhk;アカペラ;あꜛかꜜぺら
nhk;赤帽;あꜛかぼう
nhk;赤本;あꜛかほん
nhk;赤間石;あꜛかまꜜいし
nhk;赤松;あꜛかまつ
nhk;赤松;あꜛかꜜまつ
nhk;赤身;あꜛかみ
nhk;赤み;あꜛかみ
nhk;赤味;あꜛかみ
nhk;赤みそ;あꜛかみそ
nhk;赤味噌;あꜛかみそ
nhk;赤むけ;あꜛかむけ
nhk;赤剥け;あꜛかむけ
nhk;赤紫;あꜛかむらꜜさき
nhk;赤目;あꜛかめ
nhk;赤芽芋;あꜛかめいも
nhk;赤める;あꜛかめꜜる
nhk;赤める;あꜛかめる
nhk;崇める;あꜛが~めꜜる
nhk;崇める;あꜛが~める
nhk;赤門;あꜛかもん
nhk;赤ら顔;あꜛからが~お
nhk;赤ら顔;あꜛからꜜが~お
nhk;明からさま;あꜛからさま
nhk;明からさま;あꜛからꜜさま
nhk;赤らむ;あꜛからꜜむ
nhk;赤らむ;あꜛからむ
nhk;赤らめる;あꜛからめꜜる
nhk;赤らめる;あꜛからめる
nhk;赤ランプ;あꜛからꜜんぷ
nhk;明かり;あꜛかり
nhk;灯;あꜛかり
nhk;上がり;あꜛが~り
nhk;揚がり;あꜛが~り
nhk;上がり降り;あꜛが~りꜜおり
nhk;上がりがまち;あꜛが~りが~ꜜまち
nhk;上り框;あꜛが~りが~ꜜまち
nhk;上がり口;あꜛが~りく*ち
nhk;上がり口;あꜛが~りꜜく*ち
nhk;上がり口;あꜛが~りぐ~ち
nhk;上がり口;あꜛが~りꜜぐ~ち
nhk;上がり込む;あꜛが~りこꜜむ
nhk;上がり下がり;あꜛが~りꜜさが~り
nhk;上がり下がり;あꜛが~りさꜜが~り
nhk;明かり障子;あꜛかりしょꜜうじ
nhk;上がり高;あꜛが~りꜜだか
nhk;上がり高;あꜛが~りだか
nhk;上がり段;あꜛが~りだん
nhk;上がり段;あꜛが~りꜜだん
nhk;明かり取り;あꜛかりꜜとり
nhk;明かり取り;あꜛかりとり
nhk;上がり場;あꜛが~りば
nhk;上がりばな;あꜛが~りばな
nhk;上がり端;あꜛが~りばな
nhk;上がりふじ;あꜛが~りꜜふじ
nhk;上がり藤;あꜛが~りꜜふじ
nhk;あかり窓;あꜛかりまꜜど
nhk;上がり目;あꜛが~りめ
nhk;上がり物;あꜛが~りもの
nhk;上がり湯;あꜛが~りゆ
nhk;上がり湯;あꜛが~りꜜゆ
nhk;上がる;あꜛが~る
nhk;揚がる;あꜛが~る
nhk;挙がる;あꜛが~る
nhk;食がる;あꜛが~る
nhk;明るい;あꜛかるい
nhk;明るみ;あꜛかるみ
nhk;明るむ;あꜛかるꜜむ
nhk;赤れんが;あꜛかれꜜんが~
nhk;赤煉瓦;あꜛかれꜜんが~
nhk;亜寒帯;あꜛかんたい
nhk;亜寒帯;あꜛかꜜんたい
nhk;あかんべ;ꜛあꜜかんべ
nhk;あかんべ;あꜛかんべꜜ
nhk;あかんべえ;ꜛあꜜかんべえ
nhk;あかんべえ;あꜛかんべꜜえ
nhk;赤ん坊;あꜛかんぼう
nhk;赤ん坊;あꜛかんぼ
nhk;秋;ꜛあꜜき
nhk;飽き;あꜛきꜜ
nhk;空き;あꜛき
nhk;明き;あꜛき
nhk;飽き飽きする;あꜛきあꜜき*する
nhk;秋味;あꜛきꜜあじ
nhk;秋落ち;あꜛきおち
nhk;秋風;あꜛき*ꜜかぜ
nhk;秋風;あꜛき*かꜜぜ
nhk;空き殻;あꜛきが~ら
nhk;空き缶;あꜛき*かん
nhk;飽き気味;あꜛきぎ~み
nhk;飽き気味;あꜛきぎ~ꜜみ
nhk;秋草;あꜛきく*さ
nhk;秋草;あꜛきꜜく*さ
nhk;秋口;あꜛきꜜぐ~ち
nhk;空き車;あꜛきぐ~ꜜるま
nhk;秋ご;あꜛきご~
nhk;秋蚕;あꜛきご~
nhk;秋ご;あꜛきꜜご~
nhk;秋蚕;あꜛきꜜご~
nhk;秋肥;あꜛきご~え
nhk;秋作;あꜛき*さく
nhk;秋桜;あꜛきざꜜくら
nhk;秋さば;あꜛきꜜさば
nhk;秋鯖;あꜛきꜜさば
nhk;秋寒;あꜛき*さむ
nhk;秋雨;あꜛき*さめ
nhk;秋雨前線;あꜛき*さめぜꜜんせん
nhk;空き室;あꜛきし*つ
nhk;飽き性;あꜛき*しょꜜう
nhk;空き巣;あꜛき*す
nhk;空き巣ねらい;あꜛき*すねꜜらい
nhk;空き巣狙い;あꜛき*すねꜜらい
nhk;秋空;あꜛきぞꜜら
nhk;秋田;ꜛあꜜき*た
nhk;秋大根;あꜛきだꜜいこん
nhk;秋田犬;あꜛき*たꜜいぬ
nhk;秋田犬;あꜛき*たいぬ
nhk;秋田犬;あꜛき*たけん
nhk;秋田杉;あꜛき*たꜜすぎ~
nhk;空きだな;あꜛきだな
nhk;空き店;あꜛきだな
nhk;飽き足りない;あꜛき*たりない
nhk;空きだる;あꜛきだる
nhk;空き樽;あꜛきだる
nhk;空き地;あꜛき*ち
nhk;あきつ神;あꜛき*つꜜかみ
nhk;現神;あꜛき*つꜜかみ
nhk;あきつ神;あꜛき*つかꜜみ
nhk;現神;あꜛき*つかꜜみ
nhk;秋津島;あꜛき*つꜜしま
nhk;飽きっぽい;あꜛき*っぽꜜい
nhk;商い;あꜛきꜜない
nhk;商い;あꜛきなꜜい
nhk;商い物;あꜛきないもの
